1094,Sólbakki,Ekki skráð,101,Heimarafstöð,"3,5",Pelton,1929,1958,0,296133,624615
1095,Vaðlar,Ekki skráð,101,Heimarafstöð,8,Pelton,1953,NULL,1,298434,617326
1096,Kirkjuból,Ekki skráð,101,Heimarafstöð,10,Francis,1954,1973,0,293380,621709
1097,Botn,Ekki skráð,101,Heimarafstöð,10,Pelton,1954,NULL,0,302472,627232
1098,Galtarviti,Ekki skráð,101,Heimarafstöð,12,Francis,1960,NULL,1,293934,637103
1099,Ögur I og II,Ekki skráð,101,Heimarafstöð,8,Francis,1929,1969,0,331112,620529
1100,Hjallar,Ekki skráð,101,Heimarafstöð,"1,5",Pelton,1957,1971,0,328329,616453
1101,Skálavík,Ekki skráð,101,Heimarafstöð,"5,5",Pelton,1928,1952,0,338765,608494
1102,Sandeyri,Ekki skráð,101,Heimarafstöð,"7,5",Pelton,1930,1958,0,326490,633800
1103,Hornbjargsviti,Ekki skráð,101,Heimarafstöð,15,Pelton,1960,NULL,1,349080,661276
1104,Ófeigsfjörður (sum),Ekki skráð,101,Heimarafstöð,20,Skrúfa,1947,1960,0,376928,619714
1105,Djúpavík (vksm),Ekki skráð,101,Heimarafstöð,10,Pelton,1937,1970,0,383758,607583
1106,Ingólfsfjörður (vsm),Ekki skráð,101,Heimarafstöð,5,Pelton,1942,NULL,0,380655,616494
1107,Eyri Ingólfsf. (sum),Ekki skráð,101,Heimarafstöð,7,Pelton,1942,NULL,0,380780,616584
1108,Ós,Ekki skráð,101,Heimarafstöð,"8,5",Francis,1930,1965,0,375818,584142
1109,Stakkanes,Ekki skráð,101,Heimarafstöð,"0,5",Yfir hjól,1943,1958,0,372657,588708
1110,Kirkjuból,Ekki skráð,101,Heimarafstöð,"0,2",Yfir hjól,1940,1952,0,381480,573423
1111,Grænumýrartunga,Ekki skráð,101,Heimarafstöð,3,Pelton,1930,1977,0,401899,511113
1112,Fjarðarhorn,Ekki skráð,101,Heimarafstöð,"3,9",Pelton,1920,1958,0,401914,518391
1113,Símstöðin Brú,Ekki skráð,101,Heimarafstöð,100,Pelton,1951,NULL,0,401540,513900
1114,Þambárvellir I,Ekki skráð,101,Heimarafstöð,5,Francis,1934,NULL,1,389086,552552
1115,Þambárvellir II,Ekki skráð,101,Heimarafstöð,4,Francis,1970,NULL,0,389194,552691
1116,Skarð,Ekki skráð,101,Heimarafstöð,"0,3",Yfir hjól,1939,1958,0,382175,589680
1117,Hella,Ekki skráð,101,Heimarafstöð,4,Yfir hjól,1949,1958,0,380333,581923
1118,Reykir,Ekki skráð,101,Heimarafstöð,8,Pelton,1954,NULL,1,402548,529415
1119,Tannastaðir,Ekki skráð,101,Heimarafstöð,"1,5",Pelton,1955,1970,0,402898,532953
1120,Aðalból,Ekki skráð,101,Heimarafstöð,8,Pelton,1929,1971,0,422545,515282
1121,Fosskot,Ekki skráð,101,Heimarafstöð,"3,6",Pelton,1953,1961,0,418055,510755
1122,Búrfell,Ekki skráð,101,Heimarafstöð,5,Pelton,1929,1962,0,411249,529719
1123,Þorgrímsstaðir,Ekki skráð,101,Heimarafstöð,20,Pelton,1983,NULL,1,415772,564788
1124,Stóra-Ásgeirsá,Ekki skráð,101,Heimarafstöð,15,Francis,1931,1963,0,425403,543441
1125,Sjúkrahús Hvammstanga,Ekki skráð,101,Heimarafstöð,6,Francis,1928,1952,0,409508,545793
